18-08 (2)_19_10_24_21_37_51_159.jpg - distance:1.2192441041210482 | cause:classmate | comparedTo:18-08 (2)_19_10_24_21_37_51_157.jpg | class:-22.780|-43.376
18-08 (2)_19_10_24_21_37_51_160.jpg - distance:1.7906392791060592 | cause:classmate | comparedTo:18-08 (2)_19_10_24_21_37_51_157.jpg | class:-22.780|-43.376
18-08 (2)_19_10_24_21_37_51_161.jpg - distance:2.588542478066341 | cause:classmate | comparedTo:18-08 (2)_19_10_24_21_37_51_157.jpg | class:-22.780|-43.376
18-08 (2)_19_10_24_21_37_51_162.jpg - distance:3.0903300145627832 | cause:classmate | comparedTo:18-08 (2)_19_10_24_21_37_51_157.jpg | class:-22.780|-43.376
18-08 (2)_19_10_24_21_37_51_163.jpg - distance:3.7634786080098768 | cause:classmate | comparedTo:18-08 (2)_19_10_24_21_37_51_157.jpg | class:-22.780|-43.376
18-08 (2)_19_10_24_21_37_51_164.jpg - distance:4.275053251205119 | cause:classmate | comparedTo:18-08 (2)_19_10_24_21_37_51_157.jpg | class:-22.780|-43.376
18-08 (2)_19_10_24_21_37_51_165.jpg - distance:4.669370587802387 | cause:classmate | comparedTo:18-08 (2)_19_10_24_21_37_51_157.jpg | class:-22.780|-43.376
18-08 (2)_19_10_24_21_37_51_167.jpg - distance:0.8409636065764611 | cause:classmate | comparedTo:18-08 (2)_19_10_24_21_37_51_166.jpg | class:-22.780|-43.376
18-08 (2)_19_10_24_21_37_51_168.jpg - distance:1.113008683636898 | cause:classmate | comparedTo:18-08 (2)_19_10_24_21_37_51_166.jpg | class:-22.780|-43.376
18-08 (2)_19_10_24_21_37_51_169.jpg - distance:1.4344804565574794 | cause:classmate | comparedTo:18-08 (2)_19_10_24_21_37_51_166.jpg | class:-22.780|-43.376
18-08 (2)_19_10_24_21_37_51_170.jpg - distance:1.7821224588761235 | cause:classmate | comparedTo:18-08 (2)_19_10_24_21_37_51_166.jpg | class:-22.780|-43.376
18-08 (2)_19_10_24_21_37_51_171.jpg - distance:2.194766002652768 | cause:classmate | comparedTo:18-08 (2)_19_10_24_21_37_51_166.jpg | class:-22.780|-43.376
